POSSIBILITY,TUITION FEES BUDGET,OVERALL BUDGET,STATE,COLLEGE,UNIVESITY NAME,TYPE,YEAR,SEATS,OVERVIEW,WEBSITE,TUITION FEE,"HOSTEL CHARGES
P.A.",ANNUAL,ONE TIME,TUITION PACKAGE,GRAND TOTAL,TYPE,QUOTA,"OPENING RANK
2023","CLOSING RANK
2023",OPENING SCORE,CLOSING SCORE
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,"KPC MEDICAL COLLEGE AND HOSPITAL, JADAVPUR","West Bengal University of Health Sciences,Kolkata",Trust,2008,150,"- KPC has a campus spread over 48 lush acres in Southern Kolkata, with more than 1,200,000 sq. ft. of built-up area.
- The institution boasts specialized libraries, modern laboratories, and world-class equipment to support academic excellence.
- An Internet-enabled communication infrastructure facilitates connectivity with peers worldwide.
- With a decade of experience, KPC Medical College & Hospital has produced the top MBBS ranker in the state of West Bengal three times.",https://kpcmedicalcollege.in/,"₹ 4,00,000.00","₹ 54,000.00","₹ 65,000.00",,"₹ 18,00,000.00","₹ 23,35,500.00",PRIVATE,SQ-UR,20422,36287,615,588
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"BGS GLOBAL INSTITUTE OF MEDICAL SCIENCES,# 67, BGS HEALTH & EDUCATION,CITY, UTTARAHALLI MAIN ROAD,KENGERI, BANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2013,150,"BGS Global Institute of Medical Sciences is affiliated to the Rajiv Gandhi University of Health Sciences (RGUHS) and has been established to inform quality medical education and generate dedicated healthcare professionals for services in the society.
BGS Global Institute of Medical Sciences Vision is to be recognized as a centre of excellence providing quality medical training and comprehensive health care in a socially responsible manner.",https://bgsgims.edu.in/,"₹ 10,92,852.00","₹ 1,40,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,15,334.00",PRIVATE,OPN,18753,37905,586,619.5
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"M.V.J.MEDICAL COLLEGE AND RESEARCH HOSPITAL,NH-4, DANDUPALYA, KOLATHUR -,POST, HOSKOTE,CHANNASANDRA, BANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1997,150,"MVJ Medical College was founded in 2001 under the umbrella of the Venkatesh Education Society.
In addition, the Institute has become one of the leading medical colleges in the country offering holistic medical education with equal expertise.
Now, MVJ is recognized as the 7th leader in medical education, offering many programs in undergraduate and postgraduate courses to over 1000 students.
",https://mvjmc.edu.in/,"₹ 10,92,852.00","₹ 1,70,000.00","₹ 12,500.00",,"₹ 49,17,834.00","₹ 57,39,084.00",PRIVATE,OPN,30222,40847,581,598
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,ICARE INSTITUTE OF MEDICAL SCIENCE AND RESEARCH AND DR B C ROY HOSPITAL HALDIA,"West Bengal University of Health Sciences,Kolkata",Trust,2011,150,"- ICARE Institute of Medical Sciences and Research and Dr. Bidhan Chandra Roy Hospital, Haldia (IIMSAR & BCRHH) was established to create a modern education center and healthcare facility in Haldia.
-  The hospital has 520 beds with all modern diagnostic facilities.
- The institute features a demonstration room with a capacity of 25.",https://icaremedicalcollege.in/,"₹ 5,00,000.00","₹ 50,000.00","₹ 90,000.00",,"₹ 22,50,000.00","₹ 28,80,000.00",PRIVATE,SQ-UR,36127,41300,588,581
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL,"West Bengal University of Health Sciences,Kolkata",Trust,2018,200,"- JIMSH has received permission from the Medical Council of India to start a medical college with MBBS seats, GNM seats, BSc nursing seats under the West Bengal Nursing Council and Indian Nursing Council, and paramedical seats under the State Medical Faculty of West Bengal for the academic year 2023-2024.
- The campus spans 24 acres.
- The hospital has 1050 beds.
- There are 70 ICU beds.
- There are 10 major operation theaters and 6 minor operation theaters.
- There are residential facilities for doctors, staff, and students.",https://jimsh.org/,"₹ 5,48,000.00",₹144000-2116000,"₹ 65,000.00",,"₹ 24,66,000.00","₹ 34,06,500.00",PRIVATE,SQ-UR,35821,41412,589,580
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,IQ CITY MEDICAL COLLEGE,"West Bengal University of Health Sciences,Kolkata",Trust,2013,200,"-  Part of IQ City Health & Knowledge Campus in Durgapur, spread over 100 acres.
- 1200-bedded multispecialty hospital with 24x7 emergency support and day care facilities.
- Neurology, Orthopaedics, Cardiology, Dermatology, Haematology, Gynecology and Obstetrics, Paediatric and Neonatal Care, ENT, General Medicine, General Surgery, Gastroenterology, Nephrology, Dentistry, and other specialties.
- Nine fully equipped operation theaters performing major surgeries and procedures.
- Separate comprehensive residential facilities for boys and girls.
- Grounds for football and cricket, courts for badminton, tables for table tennis, indoor games like carom and chess, and a state-of-the-art gym with modern equipment.
- Floodlight grounds for late-night matches and tournaments, enhancing campus life.",https://medical.iqcity.in/,"₹ 5,48,000.00",₹159750-236150,"₹ 75,000.00",,"₹ 24,66,000.00","₹ 38,66,175.00",PRIVATE,SQ-UR,35528,42678,589,579
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"JAYA JAGADGURU MURUGHARAJENDRA MEDICAL COLLEGE,DAVANGERE,DAVANGERE DISTRICT","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1965,245,"Jagadguru Jayadeva Murugarajendra (JJM) Medical College was established in 1965 by Bapuji Educational Association, JJM is one of the premier institutes established by BEA, Davangere Karnataka, India.
This Association was established by a group of eminent Philanthropic people of Davangere.
Their main concern was the upliftment of education in and around Davangere and surrounding rural town. This College is situated in Kuvempu Nagar, Davanagere, Karnataka.",https://www.jjmmc.org/,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,19318,42962,578,618
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"AAM : AL AZHAR MEDICAL COLLEGE, THODUPUZHA.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2014,150,"- Al-Azhar Medical College began under the aegis of Noorul Islam Trust and has 12 other sister institutions located at Thodupuzha.
- The campus provides an ideal environment for nurturing experiential learning and mastering the art of medicine.
- Al-Azhar is a Super Speciality Facility excelling in medical departments such as: Cardiology, Endocrinology & Diabetology, Nephrology, Neurology, Gynaecology
- The college offers affordable treatments and services to ensure accessible healthcare.
- It features a 740-bed Super Speciality Facility located at Thodupuzha, Idukki, providing exceptional care in the mentioned specialties.",https://www.aamc.org.in/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,56850,115590,493,559
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,SANTINIKETAN MEDICAL COLLEGE,The West Bengal University of Health Sciences,Trust,2021,150,"- The self-contained campus spans 25 acres and boasts excellent infrastructure and learning resources, creating a stimulating learning environment.
- Hostel facilities are available for over 200 boys and girls, ensuring comfortable accommodation for students.
- Student amenities within the campus include a playground, swimming pool, auditorium, garden, prayer places, co-op store, book shop, canteens, and cafeteria.
- Unique museums within the college showcase medical facts and oddities of the human body, with over 300 dissected specimens and 500 models on display.
- The Anatomy museum is acclaimed as one of the best in India, offering an enriching learning experience for medical students.",https://www.smcbangla.com/,"₹ 5,32,222.00",₹158400-231600,"₹ 1,05,000.00",,"₹ 23,94,999.00","₹ 39,09,699.00",PRIVATE,SQ-UR,36287,45165,588,575
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,JIS SCHOOL OF MEDICAL SCIENCE AND RESEARCH,"JIS University, Kolkata",Trust,2023,150,"- This institution is the outcome of the Bengal Global Business Summit, where JIS Group signed an MoU with the West Bengal Department of Health.
- It aims to provide international standards of education and value-based medical services with support from local people and authorities in and around Santragachi, Howrah, West Bengal.
- The institution has over 24 years of experience.
- There are over 39,000 happy students.
- The facility employs over 50 doctors and staff.
- The hospital has more than 500 beds.",https://jismsr.org/,"₹ 5,48,000.00",₹200000-250000,"₹ 90,000.00",,"₹ 24,66,000.00","₹ 39,96,000.00",PRIVATE,SQ-UR,36292,48239,588,571
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,GOURI DEVI INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL,"West Bengal University of Health Sciences,Kolkata",Society,2016,150,"-  Ranked No. 1 among all private medical colleges in West Bengal by the Times of India in 2024.                                                                                                                                                                                                                                                               - Over 350 experienced faculty members.
-  More than 21 well-equipped departments and laboratories.
- Air-conditioned library with over 11,000 medical books and journals.
-  An 890-bedded hospital with ultra-modern facilities.
-  A 100-acre campus.
-  Air-conditioned and non-air-conditioned hostel facilities.",https://gimsh.in/,"₹ 5,48,000.00",₹160000-200000,"₹ 65,000.00",,"₹ 24,66,000.00","₹ 36,58,500.00",PRIVATE,SQ-UR,37213,49167,587,570
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,KARNATAKA,"KASTURBA MEDICAL COLLEGE, MANIPAL UNIV., MANIPAL,MADHAV NAGAR, MANIPAL, KARNATAKA STATE INDIA, KARNATAKA, 576104","Manipal Academy of Higher Education (Deemed University), Manipal",Trust,1953,250,"Kasturba Medical College Manipal was established in the year 1953 and it was the first self financing Medical college in India.
The Medical college is approved by the Medical Council of India, the General Medical Council of Great Britain and the Malaysian Medical Council and Australian Medical Council.
The KMC situated as barren hillock spread over as a green environmental with all modern amenities conducive to student learning.
The KMC Manipal has consistently been ranked among the top ten medical colleges in the country and its studying over 30 countries graduate from the college every year and the degrees are recognized worldwide.
The Kasturba Medical College, Manipal is to provide an excellent educational experience in all the field of Medicine and Allied Health Sciences to create a supportive environment for research and self-directed learning.",https://www.manipal.edu/kmc-manipal.html,"₹ 17,70,000.00","₹ 1,30,500.00",-,,"₹ 79,65,000.00","₹ 85,52,250.00",Deemed/ Paid Seats Quota,OPEN,367,51200,697.5,567
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"AMC : AMALA INSTITUTE OF MEDICAL SCIENCES, THRISSUR","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100,"- Amala Institute of Medical Sciences (AIMS) is dedicated to providing holistic medical treatment and well-being.
- With 25 modern operating theaters and 210 equipped intensive-care beds, AIMS ensures top-notch medical infrastructure.
- A fully computerized and networked Hospital Information System (HIS) enhances efficiency, while the digital radiology department facilitates advanced diagnostic services.
- AIMS is committed to being a one-stop solution for complete healing.",https://www.amalaims.org/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,25039,26285,605,607
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"SHYMANURU SHIVASHANKARAPPA INSTITUTE OF MEDICAL SCIENCES,JNANASHANKARA, NH-4,BYPASS ROAD,DAVANGERE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2006,200,"Shyamanuru Shivashankarappa Institute of Medical Sciences in Davangere, Karnataka, offers MBBS and MD/MS programs affiliated with RGUHS, Karnataka. Recognized by the MCI, it provides modern facilities including lecture halls, labs, a library, and simulation labs. The hospital with 800 beds offers 24/7 emergency services and various specialties. Research culture is encouraged through workshops and collaborations. The campus provides separate hostels, recreational facilities, and a cafeteria. With experienced faculty and extensive clinical exposure, SSIMS ensures quality medical education, yet can improve research opportunities and student support services.",https://ssimsrc.com/,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,41108,56169,560,581
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"AZC : AZEEZIA INSTITUTE OF MEDI. SCIENCE, MEYYANNOOR, KOLLAM","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2008,100,"- Azeezia Medical College Hospital is a renowned healthcare system in Kerala, offering comprehensive services with global standards.
- The hospital boasts a 540-bedded multi-specialty facility known for its excellent medical expertise, nursing care, and quality diagnostic services.
- Specialties covered include Medicine, Surgery, Obstetrics & Gynecology, Dermatology, Psychiatry, Pediatrics, Orthopedics, Ophthalmology, ENT, Anesthesiology, Radiology, Emergency Services, and laparoscopic surgery.
- The institution attracts a diverse team of healthcare professionals, including doctors, nursing staff, allied health professionals, teachers, researchers, and administrators.
",https://azeezia.com/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,54906,71654,541,562
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"MAHADEVAPPA RAMPURE MEDICAL COLLEGE,MAHADEVAPPA RAMPURE MARG,SEDAM ROAD,KALABURGI","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1963,150,"In 1963 Mahadevappa Rampure Medical College was started, cause The Karnataka State Government had decided to establish a Medical College at Bellary instead of Gulbarga.
The Private Medical College got recognition from the MCI in 1972 and was the second private medical college in the Country after KMC, Manipal to get this recognition and also this college got the recognition from the British Medical Council.",https://mrmc.hkes.edu.in/,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,27148,58872,556,603
NOT POSSIBLE,EXCEEDS BUDGET,EXCEEDS BUDGET,NEW DELHI,"HAMDARD INST OF MED SCIENCES AND RESEARCH, NEW DELHI,HIMSR, JAMIA HAMDARD, GURU RAVIDAS MARG, HAMDARD NAGAR, NEW DELHI, DELHI (NCT), 110062",University of Jamia Hamdard (Hamdard University),Society,2012,150,"Hamdard Institute of Medical Sciences & Research (HIMSR) at Hamdard Nagar in New Delhi is an ambitious project of Jamia Hamdard aimed at furthering its scope in the life sciences and health domains and providing quality healthcare at an affordable cost.
HIMSR brings together educational facilities of the highest order for the training of personnel in all esteemed branches of healthcare; and to attain self-sufficiency in Post-graduate Medical Education
Deemed as a Self-financing, Unaided Private Institute, HIMSR is affiliated to Jamia Hamdard and is designed to become a parallel private healthcare system in New Delhi.",https://www.himsr.co.in/,"₹ 16,00,000.00","₹ 2,50,000.00",,,"₹ 72,00,000.00","₹ 83,25,000.00",Deemed/ Paid Seats Quota,OPEN,10253,59571,640,556
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"BCM : BELIEVERS CHURCH MEDICAL COLLEGE HOSPITAL, THIRUVALLA","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2016,100,"- Believers Church Medical College boasts world-class infrastructure with air-conditioned lecture halls and modern audio-visual aids.
- The campus is eco-friendly, vehicle-free, and plastic-free, promoting a healthy environment for learning.
- The college library is fully computerized, housing over 10,000 books, E-journal databases, periodicals, and multimedia resources.
- Unique museums display dissected specimens, models, and rare medical oddities, providing visual reference for students.
- State-of-the-art laboratories equipped with modern technology support hands-on learning and experimentation in medical science.",https://www.bcmch.org/,"₹ 8,44,550.71","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 38,00,478.20","₹ 47,90,478.20",PRIVATE,SM,32450,35727,589,594
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,SHRI RAMKRISHNA INSTITUTE OF MEDICAL SCIENCES AND SANAKA HOSPITALS,"West Bengal University of Health Sciences,Kolkata",Trust,2019,150,"- Shri Ramakrishna Institute of Medical Sciences is located in Durgapur, boasting a sprawling 51+ acre campus.
- The institute operates a 900-bedded hospital, including a dedicated cancer hospital and research center.
- Recognized for its excellence in medical education, the institute was awarded the ""Pioneer in Medical Education-2023"" by ABP.
- Shri Ramkrishna Institute of Medical Sciences and Sanaka Hospitals, a unit of the Sanaka Educational Trust, is renowned for its contributions to healthcare and education.
- With 9 major operation theatres, the institute ensures state-of-the-art surgical facilities for its patients.",https://srims.setgoi.ac.in/,"₹ 5,48,000.00",₹210000-390000,"₹ 85,000.00",,"₹ 24,66,000.00","₹ 37,93,500.00",PRIVATE,SQ-UR,26471,62243,605,552
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,WEST BENGAL,JMN MEDICAL COLLEGE AND HOSPITAL,"West Bengal University of Health Sciences,Kolkata",Trust,2023,150,#NAME?,https://jmnmedicalcollege.org.in/,"₹ 5,32,222.00",₹144000-196000,"₹ 1,05,000.00",,"₹ 23,94,999.00","₹ 37,49,499.00",PRIVATE,SQ-UR,51533,63059,566,551
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"EAST POINT COLLEGE OF MEDICAL SCIENCES AND RESEARCH CENTER,BANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2017,150,"East Point College of Medical Sciences & Research Centre, Bangalore is situated in Bidarahalli at the Eastern part of Bangalore in the State of Karnataka.
This East Point College Provides Quality Education to developing the students into doctors, with a high capacity of knowledge with finest skills to Serving the peoples with helping attitude.",https://epcms.ac.in/,"₹ 10,92,852.00","₹ 1,65,300.00","₹ 11,950.00",,"₹ 49,17,834.00","₹ 57,15,459.00",PRIVATE,OPN,31920,64138,550,595
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,MAHARASTRA,"SYMBIOSIS MEDICAL COLLEGE FOR WOMEN PUNE,GRAM LAVALE TAL MULSHI PUNE, MAHARASHTRA, 412115 (FEMALE SEAT ONLY )","Symbiosis International (Deemed) University, pune",Society,2020,150,"Symbiosis Medical College for Women, conceived by Prof. Dr. S.B.Mujumdar, Founder and Chancellor of Symbiosis International (Deemed University), aims to empower women and bolster the nation's healthcare system by increasing female doctor representation. Situated amidst the picturesque campus of Symbiosis International (Deemed University) in Lavale, Pune, the college admits 150 students annually. It boasts state-of-the-art infrastructure and facilities, including the Symbiosis University Hospital and Research Centre. Collaborating with sister institutes and research centers on campus, such as Symbiosis Institute of Business Management and Symbiosis Centre for Stem Cell Research, enhances academic and research endeavors. Residential amenities for residents and staff ensure a conducive learning environment. The college's focus on comprehensive training, led by experienced faculty, aims to cultivate empathetic, ethical, and skilled women doctors, contributing to both individual growth and nation-building.",https://www.smcw.edu.in/,"₹ 10,00,000.00","₹ 2,12,500.00",,,"₹ 45,00,000.00","₹ 54,56,250.00",Deemed/ Paid Seats Quota,OPEN,17746,64564,621,549
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"SRINIVASA INSTITUTE OF MEDICAL RESEARCH CENTER,SRINIVAS NAGAR,MUKKA, SURATHKAL,MANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2011,150,"The establishment of a Super-speciality Hospital with over 20 departments and an associated world class Medical College with annual intake of 150 students for MBBS and mentor at least 20 research scholars every year for deserving candidates was a dream of CA A Raghavendra Rao, President of A Shama Rao Foundation, Mangalore, and the Vice-President Mr Srinivas Rao.",https://www.srinivasgroup.com/Srinivas-Institute-of-Medical-Sciences-and-Research-Center,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,40462,70125,543,582
